epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,4354,0.95043,0.66161,1.36907,0.62846,0.66221,0.66519,0.41063,1.32792,1.03823,1.702,0.001816,0.001816,0.001816
126,4385.47,0.94292,0.65172,1.36323,0.6338,0.6629,0.66476,0.40964,1.32854,1.03759,1.70303,0.00175,0.00175,0.00175
127,4420.68,0.93574,0.64668,1.36182,0.63544,0.663,0.66501,0.40973,1.32909,1.03747,1.70409,0.001684,0.001684,0.001684
128,4455.7,0.93476,0.64174,1.36034,0.63671,0.66292,0.66595,0.40992,1.33014,1.03725,1.70524,0.001618,0.001618,0.001618
129,4491.32,0.93476,0.64053,1.36211,0.63715,0.66641,0.66661,0.41059,1.33076,1.03745,1.70612,0.001552,0.001552,0.001552
130,4525.25,0.92532,0.6386,1.34865,0.64011,0.66462,0.66673,0.41018,1.33173,1.03712,1.70734,0.001486,0.001486,0.001486
131,4559.16,0.91951,0.62168,1.34265,0.64067,0.66484,0.66694,0.41026,1.33258,1.03684,1.70837,0.00142,0.00142,0.00142
132,4593,0.91436,0.62113,1.34241,0.64362,0.66453,0.66733,0.41062,1.33287,1.03662,1.70924,0.001354,0.001354,0.001354
133,4628.16,0.91095,0.61839,1.342,0.64208,0.66269,0.66676,0.41053,1.33409,1.03642,1.71094,0.001288,0.001288,0.001288
134,4662.81,0.90438,0.61083,1.33199,0.6392,0.66382,0.66642,0.41004,1.33464,1.03643,1.71191,0.001222,0.001222,0.001222
135,4695.58,0.89998,0.6091,1.33068,0.64219,0.66051,0.6665,0.41031,1.3354,1.03612,1.71301,0.001156,0.001156,0.001156
136,4734.64,0.89625,0.6067,1.32676,0.64521,0.65972,0.66632,0.41022,1.33557,1.03586,1.7137,0.00109,0.00109,0.00109
137,4768.13,0.89123,0.59996,1.32155,0.65208,0.66045,0.66636,0.41021,1.33627,1.03625,1.71488,0.001024,0.001024,0.001024
138,4804.1,0.88713,0.59249,1.32025,0.6548,0.65878,0.66679,0.41087,1.33742,1.03571,1.71639,0.000958,0.000958,0.000958
139,4836.02,0.88155,0.59314,1.31287,0.65639,0.65792,0.66708,0.41087,1.33788,1.03556,1.71729,0.000892,0.000892,0.000892
