epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,4858.32,0.51617,0.56231,1.08903,0.30933,0.49156,0.42753,0.24627,1.45948,1.5514,1.96313,0.005842,0.005842,0.005842
65,4934.59,0.50775,0.54923,1.08134,0.3231,0.50215,0.43328,0.24882,1.4561,1.55285,1.9591,0.005776,0.005776,0.005776
66,5011.79,0.50803,0.55194,1.08049,0.32466,0.49616,0.43955,0.25217,1.45537,1.5403,1.95968,0.00571,0.00571,0.00571
67,5088.91,0.50627,0.54592,1.07775,0.32683,0.50403,0.4383,0.25375,1.4522,1.54958,1.95764,0.005644,0.005644,0.005644
68,5165.33,0.502,0.5442,1.07682,0.35735,0.50401,0.44404,0.25678,1.45006,1.53931,1.95402,0.005578,0.005578,0.005578
69,5242.52,0.50228,0.54166,1.07735,0.34535,0.50796,0.44778,0.25748,1.44603,1.51982,1.94719,0.005512,0.005512,0.005512
70,5320.01,0.49592,0.53426,1.07194,0.34422,0.50991,0.45024,0.2587,1.44581,1.51696,1.94571,0.005446,0.005446,0.005446
71,5396.32,0.49667,0.53644,1.07287,0.3396,0.52007,0.4504,0.25939,1.44398,1.51255,1.94237,0.00538,0.00538,0.00538
72,5473.28,0.4931,0.52468,1.06843,0.33567,0.52837,0.4544,0.26209,1.44637,1.50125,1.94378,0.005314,0.005314,0.005314
73,5549.72,0.495,0.53305,1.07006,0.35035,0.51933,0.45699,0.26376,1.44676,1.49373,1.94216,0.005248,0.005248,0.005248
74,5626.36,0.49151,0.5289,1.07038,0.34931,0.53758,0.46012,0.26532,1.44359,1.48594,1.93975,0.005182,0.005182,0.005182
75,5703.53,0.48808,0.52158,1.06501,0.35759,0.53703,0.46574,0.26893,1.43843,1.47586,1.9346,0.005116,0.005116,0.005116
76,5779.57,0.48684,0.52388,1.06369,0.35794,0.5335,0.46778,0.27168,1.43572,1.47713,1.93146,0.00505,0.00505,0.00505
77,5855.51,0.48659,0.52031,1.06304,0.35433,0.54353,0.4708,0.27424,1.43319,1.47659,1.92982,0.004984,0.004984,0.004984
78,5931.74,0.48313,0.51535,1.06237,0.35622,0.5468,0.46939,0.27348,1.43168,1.4769,1.92865,0.004918,0.004918,0.004918
79,6007.26,0.47988,0.51114,1.06094,0.35016,0.55647,0.47091,0.27419,1.43064,1.47368,1.92743,0.004852,0.004852,0.004852
80,6084.43,0.48324,0.51825,1.06325,0.35596,0.55427,0.47365,0.27581,1.42954,1.4687,1.92612,0.004786,0.004786,0.004786
81,6161.02,0.47728,0.50914,1.05596,0.35609,0.55313,0.47616,0.27717,1.42791,1.4663,1.92372,0.00472,0.00472,0.00472
82,6237.66,0.47823,0.5106,1.05974,0.36354,0.54345,0.47807,0.27918,1.42765,1.46343,1.9222,0.004654,0.004654,0.004654
83,6315.13,0.4703,0.50447,1.05568,0.36519,0.54445,0.47955,0.27988,1.42644,1.46115,1.9202,0.004588,0.004588,0.004588
84,6388.74,0.47224,0.50138,1.05411,0.36121,0.55101,0.48339,0.28231,1.42563,1.45654,1.91903,0.004522,0.004522,0.004522
85,6462.81,0.46721,0.50071,1.05071,0.35785,0.55382,0.48459,0.28344,1.42585,1.4546,1.91861,0.004456,0.004456,0.004456
86,6537.16,0.47083,0.50092,1.05376,0.35967,0.55771,0.48664,0.28352,1.42528,1.44949,1.91779,0.00439,0.00439,0.00439
87,6611.22,0.46786,0.49657,1.05536,0.35865,0.56501,0.48835,0.28562,1.42456,1.44505,1.91714,0.004324,0.004324,0.004324
88,6686.89,0.46155,0.48796,1.04618,0.36533,0.55347,0.49041,0.2864,1.42296,1.43891,1.91539,0.004258,0.004258,0.004258
89,6761.86,0.45887,0.48994,1.04724,0.36995,0.55157,0.49305,0.28855,1.42222,1.43467,1.91414,0.004192,0.004192,0.004192
90,6836.12,0.46059,0.48936,1.04482,0.36874,0.55748,0.49544,0.29053,1.42199,1.42961,1.91348,0.004126,0.004126,0.004126
91,6910.75,0.45902,0.49103,1.04639,0.37372,0.55733,0.49661,0.29203,1.42075,1.42441,1.91268,0.00406,0.00406,0.00406
92,6984.77,0.46006,0.48798,1.04756,0.40674,0.55811,0.49667,0.29176,1.41952,1.42086,1.91182,0.003994,0.003994,0.003994
93,7062.38,0.45391,0.48423,1.04256,0.41233,0.55328,0.49878,0.294,1.41774,1.4163,1.91044,0.003928,0.003928,0.003928
94,7140.08,0.45041,0.47748,1.04054,0.4158,0.5551,0.50035,0.29517,1.41689,1.41263,1.90944,0.003862,0.003862,0.003862
95,7216.57,0.44819,0.47862,1.03922,0.41115,0.55647,0.50096,0.29582,1.41551,1.40897,1.90822,0.003796,0.003796,0.003796
96,7291.12,0.44637,0.47654,1.03885,0.42227,0.55923,0.50185,0.29632,1.41493,1.4052,1.90756,0.00373,0.00373,0.00373
